Type,District,avg_price,avg_area,total_listings,avg_price_per_m2
Apartment,Faro,588000.0,126.6,5,3959.59595959596
House,Faro,631666.6666666666,185.0,3,4253.64758698092
Apartment,Faro,318600.0,79.0,5,2155.93984962406
Building,Faro,2950000.0,406.0,1,19962.406015037595
Farm,Vila Real,780000.0,120.0,1,5278.195488721804
House,Faro,1060000.0,204.5,2,7172.932330827068
Apartment,Faro,449166.6666666667,69.5,6,3902.027027027027
Building,Faro,469000.0,258.0,1,4074.324324324324
Farm,Faro,210000.0,177.0,1,1824.3243243243244
House,Faro,435000.0,184.0,1,3778.9575289575287
Apartment,Faro,251985.7142857143,76.85714285714286,7,1706.0644162878423
House,Faro,195000.0,110.0,1,1320.2437373053488
Land,Faro,75000.0,760.0,1,507.78605280974955
Store,Faro,320000.0,69.0,1,2166.553825321598
Apartment,Faro,352112.5,91.625,8,3650.936059907834
House,Faro,96500.0,135.0,1,1000.5760368663595
Apartment,Faro,463750.0,95.5,4,3864.5833333333335
House,Faro,465000.0,107.5,2,3875.0
Land,Faro,230000.0,200.0,1,1916.6666666666667
Other - Residential,Faro,125000.0,55.0,1,1041.6666666666667
Store,Faro,150000.0,228.0,1,1250.0
Apartment,Faro,367500.0,95.2,5,1185.866408518877
Farm,Faro,1000000.0,2148.0,1,3226.8473701193934
House,Faro,531666.6666666666,100.0,3,1715.6071851134775
Store,Faro,650000.0,175.0,1,2097.450790577606
Apartment,Faro,489150.0,112.0,6,3526.676279740447
Building,Faro,600000.0,276.0,1,4325.88320115357
House,Faro,564666.6666666666,146.33333333333334,3,4071.136745974525
Apartment,Faro,592500.0,104.0,4,683.0408607659792
Farm,Faro,540000.0,188.0,1,622.5182528500064
House,Faro,653500.0,199.5,2,753.3623671064429
Land,Faro,125000.0,6650.0,1,144.10144741898296
Transfer of lease,Faro,99000.0,154.0,1,114.12834635583451
Apartment,Faro,537565.0,74.0,3,3554.1487603305786
House,Faro,944000.0,197.6,5,6241.322314049587
Apartment,Faro,256114.2857142857,95.71428571428571,7,2166.7875271936186
House,Faro,468333.3333333333,170.66666666666666,3,3962.210941906373
